_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Canon EF 28mm 2.8 IS USM;28mm;1:2.8;58mm;1:5.00;0.23m;Canon EF;APS-C/ Kleinbild;260g;68.4x51.5mm;
Voigtländer VM Heliar 10mm 5.6;10mm;1:5.6;;;0.50m;Leica M;Mittelformat;312g;67.8x58.7mm;
Samyang 135mm 2.0 ED UMC;135mm;1:2.0;77mm;;0.80m;Sony E, Nikon F;APS-C/ Kleinbild;840g;82x148mm;
Nikon AF-S VR DX 55-200mm 4.0-5.6G IF-ED;55-200mm;1:4.0-1:5.6;52mm;;1.10m;Nikon F;APS-C;335g;73x99.5mm;
Leica Summarit-M 50mm 2.4;50mm;1:2.4;;;0.80m;Leica M;APS-C/ Kleinbild;190g;52x33mm;
Meyer Optik Görlitz Primoplan 75mm 1.9;75mm;1:1.9;52mm;;0.75m;Leica L, Fujifilm X, Canon EF;APS-C/ Kleinbild;300g;58x55mm;
Nikon 1 NIKKOR VR 30-110mm 3.8-5.6;30-110mm;1:3.8-1:5.6;40.5mm;1:10.00;1.00m;Nikon 1;Nikon CX;180g;60x61mm;
Pentax HD DA 55-300mm 4.0-5.8 ED WR;55-300mm;1:4.0-1:5.8;58mm;1:3.57;1.40m;Pentax K;APS-C;466g;72x111.5mm;
Sigma Contemporary AF 100-400mm 5.0-6.3 DG OS HSM;100-400mm;1:5.0-1:6.3;67mm;1:3.85;1.60m;Canon EF, Nikon F, Sigma SA;APS-C/ Kleinbild;1160g;86.4x182.3mm;
Samyang 85mm T1.5 AS IF UMC II VDSLR;85mm;1:1.5;72mm;;1.10m;Sony E, Micro-Four-Thirds, Canon EF, Sony A, Samsung NX, Pentax K, Nikon F, Fujifilm X;APS-C/ Kleinbild;605g;78x100.7mm;
Tamron SP AF 11-18mm 4.5-5.6 Di II LD Asp IF;11-18mm;1:4.5-1:5.6;77mm;;0.25m;Nikon F;APS-C;345g;83.2x78.6mm;
Samyang 500mm 8.0 Preset IF MC;500mm;1:8.0;67mm;;10.00m;;APS-C/ Kleinbild;640g;70x298mm;
Fujifilm XF 35mm 1.4 R;35mm;1:1.4;52mm;1:5.88;0.28m;Fujifilm X;APS-C;187g;65x54.9mm;
Sony FE 12-24mm 4.0 G;12-24mm;1:4.0;;1:7.14;0.28m;Sony E;APS-C/ Kleinbild;565g;87x117.4mm;
Canon EF-M 11-22mm 4.0-5.6 IS STM;11-22mm;1:4.0-1:5.6;55mm;1:3.33;0.15m;Canon EF-M;APS-C;220g;60.9x58.2mm;
Samyang 12mm T3.1 VDSLR ED AS NCS Fisheye;12mm;1:3.1;;;0.20m;Sony E, Sony A, Samsung NX, Pentax K, Nikon F, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C/ Kleinbild;535g;81.6x98.7mm;
Canon EF 200mm 2.0 L IS USM;200mm;1:2.0;52mm;1:8.33;1.90m;Canon EF;APS-C/ Kleinbild;2520g;128x208mm;
Leica Noctilux-M 75mm 1.25;75mm;1:1.25;67mm;;0.85m;Leica M;APS-C/ Kleinbild;1060g;74x91mm;
Canon EF-S 55-250mm 4.0-5.6 IS;55-250mm;1:4.0-1:5.6;58mm;1:3.23;1.10m;Canon EF-S;APS-C;390g;70x108mm;
Pentax smc FA 645 200mm 4.0;200mm;1:4.0;58mm;1:6.25;1.50m;Pentax 645;APS-C/ Kleinbild;625g;74.5x119mm;
Canon EF 70-200mm 2.8 L IS II USM;70-200mm;1:2.8;77mm;1:4.76;1.20m;Canon EF;APS-C/ Kleinbild;1490g;88.8x199mm;
Zeiss ZE Distagon T* 18mm 3.5;18mm;1:3.5;82mm;1:12.05;0.30m;Canon EF;APS-C/ Kleinbild;470g;87x84mm;
Sigma Contemporary AF 18-200mm 3.5-6.3 DC Makro OS HSM;18-200mm;1:3.5-1:6.3;62mm;1:3.00;0.39m;Sigma SA, Nikon F, Canon EF-S;APS-C;430g;71x86mm;
Walimex Pro 35mm 1.4 CSC;35mm;1:1.4;77mm;;0.30m;Canon EF-M;APS-C;716g;83x110mm;
Zeiss ZE Milvus 18mm 2.8;18mm;1:2.8;77mm;1:7.40;0.25m;Canon EF;APS-C/ Kleinbild;721g;90x93mm;
Samyang 300mm 6.3 UMC CS Reflex;300mm;1:6.3;25.5mm;;1.10m;Sony A, Nikon F, Canon EF;APS-C;260g;64.5x75.6mm;
Samyang 35mm T1.5 VDSLR AS UMC II;35mm;1:1.5;77mm;;0.30m;Sony E, Sony A, Samsung NX, Pentax K, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C/ Kleinbild;720g;83x137.5mm;
Samyang AE 35mm 1.4 AS UMC;35mm;1:1.4;77mm;;0.30m;Canon EF;APS-C/ Kleinbild;660g;83x111mm;
Zeiss Loxia 50mm 2.0;50mm;1:2.0;52mm;1:6.90;0.45m;Sony E;APS-C/ Kleinbild;320g;62x59mm;
Dörr Danubia 500mm 6.3 T2;500mm;1:6.3;95mm;;;T2;;596g;97x115mm;
Tamron SP AF 180mm 3.5 Di LD IF Makro 1:1;180mm;1:3.5;72mm;1:1.00;0.47m;Nikon F;APS-C/ Kleinbild;920g;84.8x165.7mm;
Pentax HD DA 21mm 3.2 AL Limited;21mm;1:3.2;49mm;1:5.88;0.20m;Pentax K;APS-C;134g;63x25mm;
Nikon AF-S VR DX 18-300mm 3.5-5.6G ED;18-300mm;1:3.5-1:5.6;77mm;1:3.20;0.45m;Nikon F;APS-C;830g;83x120mm;
Walimex Pro 10mm 3.1 VDSLR;10mm;1:3.1;;;0.24m;Canon EF;APS-C;600g;87x106.1mm;
Samyang 8mm 2.8 ED AS IF UMC Fisheye;8mm;1:2.8;;;0.30m;Samsung NX;APS-C;203g;60x48.3mm;
Pentax smc FA 645 75mm 2.8;75mm;1:2.8;58mm;1:5.56;0.60m;Pentax 645;APS-C/ Kleinbild;215g;74.5x37.5mm;
Sigma AF 85mm 1.4 EX DG HSM;85mm;1:1.4;77mm;1:8.60;0.85m;Canon EF;APS-C/ Kleinbild;719g;84.7x87.6mm;
Nikon AF-S VR 70-200mm 2.8E FL ED;70-200mm;1:2.8;77mm;1:4.80;1.10m;Nikon F;APS-C/ Kleinbild;1430g;88.5x202.5mm;
Pentax smc FA 645 55-110mm 5.6;55-110mm;1:5.6;82mm;1:6.25;0.80m;Pentax 645;APS-C/ Kleinbild;500g;88x104mm;
Sony FE 24-70mm 2.8 GM;24-70mm;1:2.8;82mm;1:4.17;0.38m;Sony E;APS-C/ Kleinbild;886g;87.6x136mm;
Leica Vario-Elmarit-SL 24-90mm 2.8-4.0 ASPH;24-90mm;1:2.8-1:4.0;82mm;;0.30m;Leica L;APS-C/ Kleinbild;1140g;88x138mm;
Olympus M.Zuiko digital 45mm 1.8;45mm;1:1.8;37mm;1:9.09;0.50m;Micro-Four-Thirds;Four-Thirds;116g;56x46mm;
Leica Elmarit-S 45mm 2.8 ASPH;45mm;1:2.8;82mm;1:10.10;0.60m;Leica S;APS-C/ Kleinbild;1300g;88x136mm;
Sony 16mm 2.8 Fisheye;16mm;1:2.8;;1:6.67;0.20m;Sony A;APS-C/ Kleinbild;400g;75x67mm;
Zeiss ZF Makro-Planar T* 50mm 2.0;50mm;1:2.0;67mm;;0.24m;Nikon F;APS-C/ Kleinbild;530g;72x65mm;
Canon EF 100-400mm 4.5-5.6 L IS II USM;100-400mm;1:4.5-1:5.6;77mm;1:3.23;0.98m;Canon EF;APS-C/ Kleinbild;1570g;94x193mm;
Sigma AF 10mm 2.8 EX DC HSM Diagonal Fisheye;10mm;1:2.8;;1:3.30;0.14m;Sigma SA, Nikon F;APS-C;;75.8x83.1mm;
Samyang 21mm T1.5 ED AS UMC CS;21mm;1:1.5;58mm;;0.28m;Sony E, Fujifilm X;APS-C;290g;73.6x67.6mm;
Samyang 10mm T3.1 ED AS NCS CS II VDSLR;10mm;1:3.1;;;0.24m;Fujifilm X, Canon EF;APS-C;635g;87x132.4mm;
Tamron SP AF 28-75mm 2.8 XR Di LD Asp IF Makro;28-75mm;1:2.8;67mm;1:3.90;0.33m;Nikon F, Pentax K, Sony A;APS-C/ Kleinbild;510g;73x92mm;
Sigma Art AF 50-100mm 1.8 DC HSM;50-100mm;1:1.8;82mm;1:6.70;0.95m;Sigma SA;APS-C;1490g;93.5x170.7mm;
Voking 12mm 2.8;12mm;1:2.8;72mm;;;Fujifilm X, Sony E, Nikon 1, Micro-Four-Thirds;APS-C;330g;;
Meike 28mm 2.8;28mm;1:2.8;49mm;1:9.09;;Micro-Four-Thirds;APS-C;102g;60.4x29mm;
Walimex Pro 800mm 8.0;800mm;1:8.0;35mm;;3.50m;Sony E, Micro-Four-Thirds, Sony A, Samsung NX, Pentax Q, Pentax K, Nikon F, Canon EF-M;APS-C;946g;111x113mm;
Tamron SP AF 90mm 2.8 Di Makro 1:1 mit AF-Motor;90mm;1:2.8;55mm;1:1.00;0.29m;Nikon F;APS-C/ Kleinbild;405g;71.5x97mm;
Nikon AF-S VR 200-500mm 5.6E ED;200-500mm;1:5.6;95mm;1:4.50;2.20m;Nikon F;APS-C/ Kleinbild;2300g;108x267.5mm;
Nikon AF-S Micro 60mm 2.8G ED;60mm;1:2.8;62mm;1:1.00;0.19m;Nikon F;APS-C/ Kleinbild;425g;73x89mm;
Tamron SP AF 17-50mm 2.8 XR Di II LD Asp IF mit AF-Motor;17-50mm;1:2.8;67mm;1:4.50;0.27m;Nikon F;APS-C;430g;73.8x83.2mm;
Nikon AF Micro 60mm 2.8D;60mm;1:2.8;62mm;1:1.00;0.22m;Nikon F;APS-C/ Kleinbild;440g;70x74.5mm;
Walimex Pro 14mm 3.1 VDSLR;14mm;1:3.1;;;0.28m;Sony E, Nikon 1, Sony A, Samsung NX, Nikon F, Micro-Four-Thirds, Fujifilm X;APS-C/ Kleinbild;643g;87x122.1mm;
